Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,6.800000,6.800000,6.800000,6.800000,6.800000,200
2015-12-01,6.800000,6.800000,6.800000,6.800000,6.800000,0
2015-12-02,6.880000,6.880000,6.880000,6.880000,6.880000,300
2015-12-03,6.880000,6.880000,6.880000,6.880000,6.880000,0
2015-12-04,6.880000,6.880000,6.880000,6.880000,6.880000,0
2015-12-07,6.880000,6.880000,6.880000,6.880000,6.880000,0
2015-12-08,6.880000,6.880000,6.880000,6.880000,6.880000,0
2015-12-09,7.060000,7.060000,7.060000,7.060000,7.060000,400
2015-12-10,7.060000,7.060000,7.060000,7.060000,7.060000,0
2015-12-11,7.060000,7.060000,7.060000,7.060000,7.060000,0
2015-12-14,7.060000,7.060000,7.060000,7.060000,7.060000,0
2015-12-15,7.060000,7.060000,7.060000,7.060000,7.060000,0
2015-12-16,7.100000,7.100000,7.100000,7.100000,7.100000,100
2015-12-17,7.100000,7.100000,7.100000,7.100000,7.100000,0
2015-12-18,7.100000,7.100000,7.100000,7.100000,7.100000,0
2015-12-21,7.100000,7.100000,7.100000,7.100000,7.100000,0
2015-12-22,7.100000,7.100000,7.100000,7.100000,7.100000,0
2015-12-23,7.430000,7.450000,7.430000,7.450000,7.450000,1000
2015-12-24,7.450000,7.450000,7.450000,7.450000,7.450000,0
2015-12-28,7.600000,7.600000,7.600000,7.600000,7.600000,200
2015-12-29,7.600000,7.600000,7.600000,7.600000,7.600000,0
2015-12-30,7.600000,7.600000,7.600000,7.600000,7.600000,0
2015-12-31,7.590000,7.590000,7.590000,7.590000,7.590000,500
2016-01-04,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-05,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-06,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-07,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-08,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-11,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-12,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-13,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-14,7.590000,7.590000,7.590000,7.590000,7.590000,0
